DCO,DEV,SENS,Volume_DEV
2/17/2022,CAD,Achat,291.81
2/18/2022,CAD,Achat,3892.00
2/18/2022,CAD,Achat,28858.25
2/18/2022,CAD,Achat,265.57
2/21/2022,CAD,Achat,10597.87
2/21/2022,CAD,Achat,10.02
2/21/2022,CAD,Achat,10871.00
2/22/2022,CAD,Achat,11149.66
2/22/2022,CAD,Achat,131.19
2/22/2022,CAD,Achat,2243.50
2/23/2022,CAD,Achat,293.25
2/23/2022,CAD,Achat,1659.00
2/23/2022,CAD,Achat,10209.38
2/24/2022,CAD,Achat,32848.99
2/24/2022,CAD,Achat,32.27
2/24/2022,CAD,Achat,4900.00
2/25/2022,CAD,Achat,5330.50
2/25/2022,CAD,Achat,96.45
2/25/2022,CAD,Achat,14588.29
2/28/2022,CAD,Achat,6489.00
2/28/2022,CAD,Achat,41328.65
2/28/2022,CAD,Achat,350.88
3/1/2022,CAD,Achat,3906.00
3/1/2022,CAD,Achat,18645.95
3/1/2022,CAD,Achat,334.78
3/2/2022,CAD,Achat,20565.47
3/2/2022,CAD,Achat,7595.00
3/2/2022,CAD,Achat,396.38
3/3/2022,CAD,Achat,1928.50
3/3/2022,CAD,Achat,68.78
3/3/2022,CAD,Achat,58744.99
3/4/2022,CAD,Achat,158.12
3/4/2022,CAD,Achat,11249.68
3/4/2022,CAD,Achat,2656.50
3/7/2022,CAD,Achat,43.60
3/7/2022,CAD,Achat,48021.65
3/7/2022,CAD,Achat,3615.50
3/8/2022,CAD,Achat,9186.74
3/8/2022,CAD,Achat,2191.00
3/8/2022,CAD,Achat,239.18
3/9/2022,CAD,Achat,7840.00
3/9/2022,CAD,Achat,8696.30
3/9/2022,CAD,Achat,26.49
3/10/2022,CAD,Achat,2383.50
3/10/2022,CAD,Achat,204.17
3/10/2022,CAD,Achat,17685.28
3/11/2022,CAD,Achat,271.59
3/11/2022,CAD,Achat,1179.50
3/11/2022,CAD,Achat,8508.07
3/14/2022,CAD,Achat,165.73
3/14/2022,CAD,Achat,19036.50
3/14/2022,CAD,Achat,52771.85
3/15/2022,CAD,Achat,17809.65
3/15/2022,CAD,Achat,424.17
3/15/2022,CAD,Achat,2691.50
3/16/2022,CAD,Achat,3906.00
3/16/2022,CAD,Achat,11992.90
3/16/2022,CAD,Achat,10.73
3/17/2022,CAD,Achat,189.22
3/17/2022,CAD,Achat,12488.08
3/17/2022,CAD,Achat,9985.50
3/18/2022,CAD,Achat,2359.00
3/18/2022,CAD,Achat,15737.59
3/18/2022,CAD,Achat,439.61
3/21/2022,CAD,Achat,412.13
3/21/2022,CAD,Achat,7070.00
3/21/2022,CAD,Achat,9376.76
3/22/2022,CAD,Achat,21700.25
